random	SNP_n	Gene_n
gtex_rsid661.bed	4	8
gtex_rsid662.bed	5	13
gtex_rsid663.bed	7	20
gtex_rsid664.bed	1	1
gtex_rsid665.bed	3	4
gtex_rsid666.bed	3	3
gtex_rsid667.bed	4	5
gtex_rsid668.bed	5	9
gtex_rsid669.bed	3	8
gtex_rsid670.bed	7	13
gtex_rsid671.bed	7	15
gtex_rsid672.bed	3	10
gtex_rsid673.bed	2	2
gtex_rsid674.bed	4	9
gtex_rsid675.bed	3	8
gtex_rsid676.bed	6	7
gtex_rsid677.bed	6	11
gtex_rsid678.bed	5	13
gtex_rsid679.bed	5	12
gtex_rsid680.bed	2	12
gtex_rsid681.bed	4	9
gtex_rsid682.bed	1	1
gtex_rsid683.bed	5	6
gtex_rsid684.bed	4	9
gtex_rsid685.bed	4	4
gtex_rsid686.bed	3	21
gtex_rsid687.bed	6	16
gtex_rsid688.bed	7	11
gtex_rsid689.bed	8	11
gtex_rsid690.bed	3	4
gtex_rsid691.bed	2	5
gtex_rsid692.bed	3	3
gtex_rsid693.bed	5	8
gtex_rsid694.bed	8	10
gtex_rsid695.bed	10	18
gtex_rsid696.bed	3	5
gtex_rsid697.bed	4	10
gtex_rsid698.bed	5	9
gtex_rsid699.bed	5	17
gtex_rsid700.bed	5	5
gtex_rsid701.bed	5	14
gtex_rsid702.bed	0	0
gtex_rsid703.bed	2	3
gtex_rsid704.bed	3	10
gtex_rsid705.bed	5	9
gtex_rsid706.bed	6	11
gtex_rsid707.bed	3	3
gtex_rsid708.bed	5	15
gtex_rsid709.bed	3	10
gtex_rsid710.bed	0	0
gtex_rsid711.bed	2	6
gtex_rsid712.bed	3	3
gtex_rsid713.bed	5	15
gtex_rsid714.bed	6	16
gtex_rsid715.bed	6	14
gtex_rsid716.bed	4	4
gtex_rsid717.bed	6	7
gtex_rsid718.bed	2	4
gtex_rsid719.bed	8	12
gtex_rsid720.bed	4	4
gtex_rsid721.bed	3	5
gtex_rsid722.bed	7	19
gtex_rsid723.bed	5	18
gtex_rsid724.bed	3	5
gtex_rsid725.bed	3	5
gtex_rsid726.bed	4	9
gtex_rsid727.bed	5	9
gtex_rsid728.bed	4	38
gtex_rsid729.bed	4	8
gtex_rsid730.bed	2	4
gtex_rsid731.bed	3	7
gtex_rsid732.bed	3	10
gtex_rsid733.bed	5	5
gtex_rsid734.bed	5	11
gtex_rsid735.bed	4	8
gtex_rsid736.bed	3	3
gtex_rsid737.bed	1	1
gtex_rsid738.bed	3	5
