random	SNP_n	Enh_n
encode_rsid574.tsv	269	269
encode_rsid575.tsv	246	246
encode_rsid576.tsv	253	253
encode_rsid577.tsv	261	261
encode_rsid578.tsv	276	276
encode_rsid579.tsv	232	232
encode_rsid580.tsv	245	245
encode_rsid581.tsv	239	239
encode_rsid582.tsv	218	218
encode_rsid583.tsv	225	225
encode_rsid584.tsv	245	245
encode_rsid585.tsv	222	222
encode_rsid586.tsv	266	266
encode_rsid587.tsv	263	263
encode_rsid588.tsv	217	217
encode_rsid589.tsv	243	243
encode_rsid590.tsv	263	263
encode_rsid591.tsv	240	239
encode_rsid592.tsv	242	242
encode_rsid593.tsv	267	267
encode_rsid594.tsv	282	282
encode_rsid595.tsv	262	262
encode_rsid596.tsv	268	268
encode_rsid597.tsv	224	224
encode_rsid598.tsv	224	224
encode_rsid599.tsv	279	279
encode_rsid600.tsv	274	274
encode_rsid601.tsv	266	266
encode_rsid602.tsv	263	263
encode_rsid603.tsv	242	242
encode_rsid604.tsv	231	231
encode_rsid605.tsv	244	244
encode_rsid606.tsv	237	237
encode_rsid607.tsv	253	253
encode_rsid608.tsv	256	256
encode_rsid609.tsv	246	246
encode_rsid610.tsv	252	252
encode_rsid611.tsv	271	271
encode_rsid612.tsv	268	268
encode_rsid613.tsv	244	244
encode_rsid614.tsv	263	262
encode_rsid615.tsv	247	247
encode_rsid616.tsv	254	254
encode_rsid617.tsv	256	256
encode_rsid618.tsv	264	264
encode_rsid619.tsv	250	250
encode_rsid620.tsv	250	250
encode_rsid621.tsv	265	265
encode_rsid622.tsv	261	261
encode_rsid623.tsv	247	247
encode_rsid624.tsv	250	250
encode_rsid625.tsv	243	243
encode_rsid626.tsv	230	230
encode_rsid627.tsv	255	254
encode_rsid628.tsv	226	226
encode_rsid629.tsv	247	246
encode_rsid630.tsv	256	256
encode_rsid631.tsv	249	249
encode_rsid632.tsv	258	258
encode_rsid633.tsv	251	250
encode_rsid634.tsv	240	240
encode_rsid635.tsv	236	236
encode_rsid636.tsv	258	258
encode_rsid637.tsv	266	266
encode_rsid638.tsv	236	236
encode_rsid639.tsv	256	256
encode_rsid640.tsv	220	220
encode_rsid641.tsv	237	237
encode_rsid642.tsv	267	267
encode_rsid643.tsv	241	241
encode_rsid644.tsv	268	268
encode_rsid645.tsv	256	256
encode_rsid646.tsv	258	258
encode_rsid647.tsv	249	249
encode_rsid648.tsv	250	250
encode_rsid649.tsv	245	245
encode_rsid650.tsv	253	253
