random	SNP_n	lncRNA_n
lncrna_rsid7832.bed	20	33
lncrna_rsid7833.bed	22	39
lncrna_rsid7834.bed	18	18
lncrna_rsid7835.bed	18	21
lncrna_rsid7836.bed	22	29
lncrna_rsid7837.bed	21	40
lncrna_rsid7838.bed	23	29
lncrna_rsid7839.bed	16	17
lncrna_rsid7840.bed	21	29
lncrna_rsid7841.bed	19	25
lncrna_rsid7842.bed	19	23
lncrna_rsid7843.bed	14	17
lncrna_rsid7844.bed	18	32
lncrna_rsid7845.bed	15	34
lncrna_rsid7846.bed	28	45
lncrna_rsid7847.bed	14	19
lncrna_rsid7848.bed	20	33
lncrna_rsid7849.bed	21	32
lncrna_rsid7850.bed	21	31
lncrna_rsid7851.bed	12	13
lncrna_rsid7852.bed	18	23
lncrna_rsid7853.bed	27	34
lncrna_rsid7854.bed	24	29
lncrna_rsid7855.bed	23	33
lncrna_rsid7856.bed	25	42
lncrna_rsid7857.bed	22	32
lncrna_rsid7858.bed	24	33
lncrna_rsid7859.bed	18	38
lncrna_rsid7860.bed	24	29
lncrna_rsid7861.bed	17	27
lncrna_rsid7862.bed	23	34
lncrna_rsid7863.bed	21	31
lncrna_rsid7864.bed	16	24
lncrna_rsid7865.bed	17	19
lncrna_rsid7866.bed	18	25
lncrna_rsid7867.bed	21	30
lncrna_rsid7868.bed	20	26
lncrna_rsid7869.bed	24	41
lncrna_rsid7870.bed	25	31
lncrna_rsid7871.bed	30	39
lncrna_rsid7872.bed	22	26
lncrna_rsid7873.bed	21	37
lncrna_rsid7874.bed	23	49
lncrna_rsid7875.bed	17	21
lncrna_rsid7876.bed	14	23
lncrna_rsid7877.bed	18	26
lncrna_rsid7878.bed	21	31
lncrna_rsid7879.bed	26	35
lncrna_rsid7880.bed	24	33
lncrna_rsid7881.bed	12	20
lncrna_rsid7882.bed	17	19
lncrna_rsid7883.bed	19	25
lncrna_rsid7884.bed	22	29
lncrna_rsid7885.bed	21	25
lncrna_rsid7886.bed	25	32
lncrna_rsid7887.bed	22	37
lncrna_rsid7888.bed	17	24
lncrna_rsid7889.bed	27	73
lncrna_rsid7890.bed	16	22
lncrna_rsid7891.bed	21	23
lncrna_rsid7892.bed	12	15
lncrna_rsid7893.bed	23	33
lncrna_rsid7894.bed	17	23
lncrna_rsid7895.bed	24	29
lncrna_rsid7896.bed	26	44
lncrna_rsid7897.bed	12	12
lncrna_rsid7898.bed	12	26
lncrna_rsid7899.bed	23	27
lncrna_rsid7900.bed	17	21
lncrna_rsid7901.bed	23	28
lncrna_rsid7902.bed	22	36
lncrna_rsid7903.bed	26	33
lncrna_rsid7904.bed	25	39
lncrna_rsid7905.bed	25	30
lncrna_rsid7906.bed	22	29
lncrna_rsid7907.bed	18	21
lncrna_rsid7908.bed	27	53
lncrna_rsid7909.bed	13	18
lncrna_rsid7910.bed	20	31
lncrna_rsid7911.bed	24	31
lncrna_rsid7912.bed	20	24
lncrna_rsid7913.bed	20	25
lncrna_rsid7914.bed	25	34
lncrna_rsid7915.bed	18	32
lncrna_rsid7916.bed	17	27
lncrna_rsid7917.bed	21	25
lncrna_rsid7918.bed	20	28
lncrna_rsid7919.bed	17	23
lncrna_rsid7920.bed	20	26
lncrna_rsid7921.bed	12	18
lncrna_rsid7922.bed	20	27
lncrna_rsid7923.bed	22	28
lncrna_rsid7924.bed	26	38
lncrna_rsid7925.bed	20	24
lncrna_rsid7926.bed	18	28
lncrna_rsid7927.bed	28	38
lncrna_rsid7928.bed	27	35
lncrna_rsid7929.bed	18	19
lncrna_rsid7930.bed	20	24
lncrna_rsid7931.bed	22	30
lncrna_rsid7932.bed	20	32
lncrna_rsid7933.bed	18	20
lncrna_rsid7934.bed	24	32
lncrna_rsid7935.bed	22	25
lncrna_rsid7936.bed	29	41
lncrna_rsid7937.bed	25	33
lncrna_rsid7938.bed	19	26
lncrna_rsid7939.bed	20	31
lncrna_rsid7940.bed	18	25
lncrna_rsid7941.bed	14	18
lncrna_rsid7942.bed	18	27
lncrna_rsid7943.bed	17	18
lncrna_rsid7944.bed	17	28
lncrna_rsid7945.bed	21	25
lncrna_rsid7946.bed	19	30
lncrna_rsid7947.bed	29	37
lncrna_rsid7948.bed	28	39
lncrna_rsid7949.bed	23	33
lncrna_rsid7950.bed	18	30
lncrna_rsid7951.bed	19	21
lncrna_rsid7952.bed	17	35
lncrna_rsid7953.bed	18	20
lncrna_rsid7954.bed	24	27
lncrna_rsid7955.bed	28	41
lncrna_rsid7956.bed	20	27
lncrna_rsid7957.bed	17	25
lncrna_rsid7958.bed	21	28
lncrna_rsid7959.bed	25	30
lncrna_rsid7960.bed	16	22
lncrna_rsid7961.bed	26	35
lncrna_rsid7962.bed	21	24
lncrna_rsid7963.bed	20	30
lncrna_rsid7964.bed	33	50
lncrna_rsid7965.bed	23	27
lncrna_rsid7966.bed	26	37
lncrna_rsid7967.bed	14	15
lncrna_rsid7968.bed	22	27
lncrna_rsid7969.bed	15	24
lncrna_rsid7970.bed	16	19
lncrna_rsid7971.bed	26	37
lncrna_rsid7972.bed	24	40
lncrna_rsid7973.bed	29	34
lncrna_rsid7974.bed	16	21
lncrna_rsid7975.bed	21	30
lncrna_rsid7976.bed	25	35
lncrna_rsid7977.bed	25	28
lncrna_rsid7978.bed	22	33
lncrna_rsid7979.bed	20	29
lncrna_rsid7980.bed	24	30
lncrna_rsid7981.bed	21	28
lncrna_rsid7982.bed	22	34
lncrna_rsid7983.bed	17	19
lncrna_rsid7984.bed	24	31
lncrna_rsid7985.bed	31	37
lncrna_rsid7986.bed	21	29
lncrna_rsid7987.bed	20	29
lncrna_rsid7988.bed	21	28
lncrna_rsid7989.bed	22	34
lncrna_rsid7990.bed	26	42
lncrna_rsid7991.bed	22	32
lncrna_rsid7992.bed	20	24
lncrna_rsid7993.bed	17	23
lncrna_rsid7994.bed	23	27
lncrna_rsid7995.bed	26	32
lncrna_rsid7996.bed	21	34
lncrna_rsid7997.bed	18	24
lncrna_rsid7998.bed	14	20
lncrna_rsid7999.bed	25	45
lncrna_rsid8000.bed	16	23
lncrna_rsid8001.bed	13	17
lncrna_rsid8002.bed	16	24
lncrna_rsid8003.bed	26	39
lncrna_rsid8004.bed	25	32
lncrna_rsid8005.bed	19	28
lncrna_rsid8006.bed	19	22
lncrna_rsid8007.bed	23	31
lncrna_rsid8008.bed	16	26
lncrna_rsid8009.bed	27	32
lncrna_rsid8010.bed	15	23
lncrna_rsid8011.bed	19	25
lncrna_rsid8012.bed	25	55
lncrna_rsid8013.bed	22	28
lncrna_rsid8014.bed	15	18
lncrna_rsid8015.bed	25	28
lncrna_rsid8016.bed	27	38
lncrna_rsid8017.bed	16	23
lncrna_rsid8018.bed	21	39
lncrna_rsid8019.bed	14	15
lncrna_rsid8020.bed	15	21
lncrna_rsid8021.bed	21	35
lncrna_rsid8022.bed	21	33
lncrna_rsid8023.bed	16	20
lncrna_rsid8024.bed	22	25
lncrna_rsid8025.bed	18	27
lncrna_rsid8026.bed	17	28
lncrna_rsid8027.bed	17	19
lncrna_rsid8028.bed	27	31
lncrna_rsid8029.bed	17	23
lncrna_rsid8030.bed	26	39
lncrna_rsid8031.bed	21	30
lncrna_rsid8032.bed	15	20
lncrna_rsid8033.bed	17	22
lncrna_rsid8034.bed	17	31
lncrna_rsid8035.bed	19	23
lncrna_rsid8036.bed	19	24
lncrna_rsid8037.bed	26	32
lncrna_rsid8038.bed	22	29
lncrna_rsid8039.bed	10	11
lncrna_rsid8040.bed	24	31
lncrna_rsid8041.bed	22	39
lncrna_rsid8042.bed	21	29
lncrna_rsid8043.bed	18	20
lncrna_rsid8044.bed	25	27
lncrna_rsid8045.bed	28	37
lncrna_rsid8046.bed	16	17
lncrna_rsid8047.bed	27	50
lncrna_rsid8048.bed	22	29
lncrna_rsid8049.bed	20	31
lncrna_rsid8050.bed	17	17
lncrna_rsid8051.bed	21	28
lncrna_rsid8052.bed	24	28
lncrna_rsid8053.bed	18	23
lncrna_rsid8054.bed	32	47
lncrna_rsid8055.bed	21	27
lncrna_rsid8056.bed	21	26
lncrna_rsid8057.bed	20	36
lncrna_rsid8058.bed	21	25
lncrna_rsid8059.bed	14	19
lncrna_rsid8060.bed	19	24
lncrna_rsid8061.bed	18	27
lncrna_rsid8062.bed	18	31
lncrna_rsid8063.bed	18	27
lncrna_rsid8064.bed	19	24
lncrna_rsid8065.bed	24	30
lncrna_rsid8066.bed	12	13
lncrna_rsid8067.bed	18	28
lncrna_rsid8068.bed	23	28
lncrna_rsid8069.bed	16	32
lncrna_rsid8070.bed	20	24
lncrna_rsid8071.bed	28	37
lncrna_rsid8072.bed	30	34
lncrna_rsid8073.bed	29	39
lncrna_rsid8074.bed	27	33
lncrna_rsid8075.bed	23	32
lncrna_rsid8076.bed	28	37
lncrna_rsid8077.bed	24	82
lncrna_rsid8078.bed	22	28
lncrna_rsid8079.bed	20	31
lncrna_rsid8080.bed	25	38
lncrna_rsid8081.bed	21	21
lncrna_rsid8082.bed	20	20
lncrna_rsid8083.bed	17	25
lncrna_rsid8084.bed	16	18
lncrna_rsid8085.bed	23	27
lncrna_rsid8086.bed	29	39
lncrna_rsid8087.bed	16	22
lncrna_rsid8088.bed	25	28
lncrna_rsid8089.bed	30	68
lncrna_rsid8090.bed	19	28
lncrna_rsid8091.bed	21	25
lncrna_rsid8092.bed	25	30
lncrna_rsid8093.bed	17	24
lncrna_rsid8094.bed	17	23
lncrna_rsid8095.bed	26	30
lncrna_rsid8096.bed	18	22
lncrna_rsid8097.bed	19	31
lncrna_rsid8098.bed	15	18
lncrna_rsid8099.bed	20	28
lncrna_rsid8100.bed	21	26
lncrna_rsid8101.bed	21	32
lncrna_rsid8102.bed	16	22
lncrna_rsid8103.bed	18	23
lncrna_rsid8104.bed	22	31
lncrna_rsid8105.bed	18	31
lncrna_rsid8106.bed	31	83
lncrna_rsid8107.bed	16	17
lncrna_rsid8108.bed	21	26
lncrna_rsid8109.bed	18	21
lncrna_rsid8110.bed	20	31
lncrna_rsid8111.bed	18	35
lncrna_rsid8112.bed	17	22
lncrna_rsid8113.bed	23	28
lncrna_rsid8114.bed	21	93
lncrna_rsid8115.bed	12	18
lncrna_rsid8116.bed	23	26
lncrna_rsid8117.bed	19	27
lncrna_rsid8118.bed	19	21
lncrna_rsid8119.bed	13	22
lncrna_rsid8120.bed	20	27
lncrna_rsid8121.bed	20	30
lncrna_rsid8122.bed	18	28
lncrna_rsid8123.bed	24	37
lncrna_rsid8124.bed	23	38
lncrna_rsid8125.bed	10	16
lncrna_rsid8126.bed	19	31
lncrna_rsid8127.bed	16	22
lncrna_rsid8128.bed	15	26
lncrna_rsid8129.bed	18	38
lncrna_rsid8130.bed	20	28
lncrna_rsid8131.bed	22	28
lncrna_rsid8132.bed	20	29
lncrna_rsid8133.bed	14	18
lncrna_rsid8134.bed	13	26
lncrna_rsid8135.bed	22	40
lncrna_rsid8136.bed	20	33
lncrna_rsid8137.bed	30	44
lncrna_rsid8138.bed	26	36
lncrna_rsid8139.bed	21	25
lncrna_rsid8140.bed	23	32
lncrna_rsid8141.bed	12	14
lncrna_rsid8142.bed	16	20
lncrna_rsid8143.bed	24	28
lncrna_rsid8144.bed	19	28
lncrna_rsid8145.bed	20	29
lncrna_rsid8146.bed	15	22
lncrna_rsid8147.bed	14	18
lncrna_rsid8148.bed	24	35
lncrna_rsid8149.bed	12	26
lncrna_rsid8150.bed	16	24
lncrna_rsid8151.bed	19	21
lncrna_rsid8152.bed	21	36
lncrna_rsid8153.bed	19	26
lncrna_rsid8154.bed	20	23
lncrna_rsid8155.bed	25	34
lncrna_rsid8156.bed	16	30
lncrna_rsid8157.bed	24	35
lncrna_rsid8158.bed	20	27
lncrna_rsid8159.bed	19	27
lncrna_rsid8160.bed	26	30
lncrna_rsid8161.bed	23	30
lncrna_rsid8162.bed	23	29
lncrna_rsid8163.bed	19	25
lncrna_rsid8164.bed	28	43
lncrna_rsid8165.bed	19	31
lncrna_rsid8166.bed	25	45
lncrna_rsid8167.bed	20	24
lncrna_rsid8168.bed	26	43
lncrna_rsid8169.bed	18	23
lncrna_rsid8170.bed	12	18
lncrna_rsid8171.bed	19	21
lncrna_rsid8172.bed	30	51
lncrna_rsid8173.bed	21	28
lncrna_rsid8174.bed	19	25
lncrna_rsid8175.bed	19	29
lncrna_rsid8176.bed	28	44
lncrna_rsid8177.bed	25	34
lncrna_rsid8178.bed	28	30
lncrna_rsid8179.bed	30	39
lncrna_rsid8180.bed	20	25
lncrna_rsid8181.bed	21	44
lncrna_rsid8182.bed	19	21
lncrna_rsid8183.bed	17	26
lncrna_rsid8184.bed	25	32
lncrna_rsid8185.bed	23	30
lncrna_rsid8186.bed	22	31
lncrna_rsid8187.bed	17	21
lncrna_rsid8188.bed	23	32
lncrna_rsid8189.bed	25	28
lncrna_rsid8190.bed	18	23
lncrna_rsid8191.bed	15	17
lncrna_rsid8192.bed	22	39
lncrna_rsid8193.bed	20	30
lncrna_rsid8194.bed	21	24
lncrna_rsid8195.bed	32	37
lncrna_rsid8196.bed	22	26
lncrna_rsid8197.bed	15	24
lncrna_rsid8198.bed	14	26
lncrna_rsid8199.bed	17	31
lncrna_rsid8200.bed	19	23
lncrna_rsid8201.bed	19	48
lncrna_rsid8202.bed	22	25
lncrna_rsid8203.bed	19	21
lncrna_rsid8204.bed	24	29
lncrna_rsid8205.bed	24	34
lncrna_rsid8206.bed	29	48
lncrna_rsid8207.bed	24	31
lncrna_rsid8208.bed	19	28
lncrna_rsid8209.bed	28	35
lncrna_rsid8210.bed	29	41
lncrna_rsid8211.bed	21	33
lncrna_rsid8212.bed	18	22
lncrna_rsid8213.bed	15	20
lncrna_rsid8214.bed	10	12
lncrna_rsid8215.bed	20	31
lncrna_rsid8216.bed	30	33
lncrna_rsid8217.bed	23	36
lncrna_rsid8218.bed	22	33
lncrna_rsid8219.bed	21	25
lncrna_rsid8220.bed	18	22
lncrna_rsid8221.bed	22	30
lncrna_rsid8222.bed	19	27
lncrna_rsid8223.bed	22	23
lncrna_rsid8224.bed	25	30
lncrna_rsid8225.bed	16	24
lncrna_rsid8226.bed	22	27
lncrna_rsid8227.bed	21	45
lncrna_rsid8228.bed	20	26
lncrna_rsid8229.bed	22	38
lncrna_rsid8230.bed	18	29
lncrna_rsid8231.bed	20	23
lncrna_rsid8232.bed	19	25
lncrna_rsid8233.bed	27	41
lncrna_rsid8234.bed	25	41
lncrna_rsid8235.bed	21	37
lncrna_rsid8236.bed	20	23
lncrna_rsid8237.bed	17	22
lncrna_rsid8238.bed	23	30
lncrna_rsid8239.bed	8	9
lncrna_rsid8240.bed	25	39
lncrna_rsid8241.bed	26	29
lncrna_rsid8242.bed	22	32
lncrna_rsid8243.bed	22	31
lncrna_rsid8244.bed	21	23
lncrna_rsid8245.bed	18	28
lncrna_rsid8246.bed	24	31
lncrna_rsid8247.bed	31	41
lncrna_rsid8248.bed	21	32
lncrna_rsid8249.bed	21	25
lncrna_rsid8250.bed	15	25
lncrna_rsid8251.bed	17	20
lncrna_rsid8252.bed	34	49
lncrna_rsid8253.bed	21	27
lncrna_rsid8254.bed	21	39
lncrna_rsid8255.bed	23	34
lncrna_rsid8256.bed	26	34
lncrna_rsid8257.bed	24	45
lncrna_rsid8258.bed	16	20
lncrna_rsid8259.bed	18	24
lncrna_rsid8260.bed	18	37
lncrna_rsid8261.bed	24	28
lncrna_rsid8262.bed	16	33
lncrna_rsid8263.bed	24	29
lncrna_rsid8264.bed	18	27
lncrna_rsid8265.bed	24	30
lncrna_rsid8266.bed	21	29
lncrna_rsid8267.bed	17	19
lncrna_rsid8268.bed	17	25
lncrna_rsid8269.bed	15	20
lncrna_rsid8270.bed	16	32
lncrna_rsid8271.bed	15	33
lncrna_rsid8272.bed	18	23
lncrna_rsid8273.bed	18	33
lncrna_rsid8274.bed	25	40
lncrna_rsid8275.bed	13	17
lncrna_rsid8276.bed	22	30
lncrna_rsid8277.bed	14	17
lncrna_rsid8278.bed	26	34
lncrna_rsid8279.bed	20	23
lncrna_rsid8280.bed	21	36
lncrna_rsid8281.bed	26	31
lncrna_rsid8282.bed	19	29
lncrna_rsid8283.bed	28	46
lncrna_rsid8284.bed	17	26
lncrna_rsid8285.bed	19	22
lncrna_rsid8286.bed	26	37
lncrna_rsid8287.bed	28	38
lncrna_rsid8288.bed	17	21
lncrna_rsid8289.bed	17	19
lncrna_rsid8290.bed	18	22
lncrna_rsid8291.bed	29	30
lncrna_rsid8292.bed	23	34
lncrna_rsid8293.bed	19	24
lncrna_rsid8294.bed	15	22
lncrna_rsid8295.bed	17	35
lncrna_rsid8296.bed	18	20
lncrna_rsid8297.bed	20	22
lncrna_rsid8298.bed	20	26
lncrna_rsid8299.bed	16	21
lncrna_rsid8300.bed	23	27
lncrna_rsid8301.bed	21	48
lncrna_rsid8302.bed	24	28
lncrna_rsid8303.bed	23	56
lncrna_rsid8304.bed	20	23
lncrna_rsid8305.bed	26	31
lncrna_rsid8306.bed	28	43
lncrna_rsid8307.bed	28	44
lncrna_rsid8308.bed	16	29
lncrna_rsid8309.bed	13	15
lncrna_rsid8310.bed	22	39
lncrna_rsid8311.bed	10	15
lncrna_rsid8312.bed	15	27
lncrna_rsid8313.bed	24	34
lncrna_rsid8314.bed	26	31
lncrna_rsid8315.bed	17	19
lncrna_rsid8316.bed	27	38
lncrna_rsid8317.bed	19	23
lncrna_rsid8318.bed	16	22
lncrna_rsid8319.bed	21	34
lncrna_rsid8320.bed	20	24
lncrna_rsid8321.bed	24	31
lncrna_rsid8322.bed	21	27
lncrna_rsid8323.bed	15	16
lncrna_rsid8324.bed	20	26
lncrna_rsid8325.bed	13	16
lncrna_rsid8326.bed	26	48
lncrna_rsid8327.bed	28	31
lncrna_rsid8328.bed	20	26
lncrna_rsid8329.bed	25	30
lncrna_rsid8330.bed	20	20
lncrna_rsid8331.bed	30	51
lncrna_rsid8332.bed	19	32
lncrna_rsid8333.bed	25	34
lncrna_rsid8334.bed	24	36
lncrna_rsid8335.bed	29	41
lncrna_rsid8336.bed	16	28
lncrna_rsid8337.bed	20	28
lncrna_rsid8338.bed	25	35
lncrna_rsid8339.bed	15	22
lncrna_rsid8340.bed	16	23
lncrna_rsid8341.bed	21	32
lncrna_rsid8342.bed	24	28
lncrna_rsid8343.bed	22	26
lncrna_rsid8344.bed	19	30
lncrna_rsid8345.bed	18	23
lncrna_rsid8346.bed	21	33
lncrna_rsid8347.bed	12	22
lncrna_rsid8348.bed	25	27
lncrna_rsid8349.bed	25	33
lncrna_rsid8350.bed	20	23
lncrna_rsid8351.bed	27	36
lncrna_rsid8352.bed	15	23
lncrna_rsid8353.bed	27	33
lncrna_rsid8354.bed	22	48
lncrna_rsid8355.bed	23	26
lncrna_rsid8356.bed	15	17
lncrna_rsid8357.bed	20	24
lncrna_rsid8358.bed	22	27
lncrna_rsid8359.bed	16	24
lncrna_rsid8360.bed	31	43
lncrna_rsid8361.bed	17	22
lncrna_rsid8362.bed	13	21
lncrna_rsid8363.bed	28	54
lncrna_rsid8364.bed	30	42
lncrna_rsid8365.bed	23	34
lncrna_rsid8366.bed	29	45
lncrna_rsid8367.bed	23	32
lncrna_rsid8368.bed	11	13
lncrna_rsid8369.bed	23	31
lncrna_rsid8370.bed	20	33
lncrna_rsid8371.bed	16	32
lncrna_rsid8372.bed	16	23
lncrna_rsid8373.bed	23	44
lncrna_rsid8374.bed	26	42
lncrna_rsid8375.bed	17	24
lncrna_rsid8376.bed	19	24
lncrna_rsid8377.bed	24	33
lncrna_rsid8378.bed	21	43
lncrna_rsid8379.bed	19	24
lncrna_rsid8380.bed	28	39
lncrna_rsid8381.bed	21	25
lncrna_rsid8382.bed	27	47
lncrna_rsid8383.bed	18	26
lncrna_rsid8384.bed	24	43
lncrna_rsid8385.bed	20	30
lncrna_rsid8386.bed	20	28
lncrna_rsid8387.bed	24	31
lncrna_rsid8388.bed	22	35
lncrna_rsid8389.bed	21	24
lncrna_rsid8390.bed	16	19
lncrna_rsid8391.bed	23	41
lncrna_rsid8392.bed	16	20
lncrna_rsid8393.bed	18	21
lncrna_rsid8394.bed	24	31
lncrna_rsid8395.bed	27	36
lncrna_rsid8396.bed	16	25
lncrna_rsid8397.bed	15	18
lncrna_rsid8398.bed	15	20
lncrna_rsid8399.bed	19	25
lncrna_rsid8400.bed	30	42
lncrna_rsid8401.bed	24	42
lncrna_rsid8402.bed	20	23
lncrna_rsid8403.bed	19	27
lncrna_rsid8404.bed	16	24
lncrna_rsid8405.bed	23	26
lncrna_rsid8406.bed	24	32
lncrna_rsid8407.bed	16	23
lncrna_rsid8408.bed	16	20
lncrna_rsid8409.bed	19	27
lncrna_rsid8410.bed	26	27
lncrna_rsid8411.bed	23	25
lncrna_rsid8412.bed	30	56
lncrna_rsid8413.bed	19	27
lncrna_rsid8414.bed	22	26
lncrna_rsid8415.bed	27	42
lncrna_rsid8416.bed	24	29
lncrna_rsid8417.bed	22	45
lncrna_rsid8418.bed	30	41
lncrna_rsid8419.bed	22	42
lncrna_rsid8420.bed	24	34
lncrna_rsid8421.bed	21	28
lncrna_rsid8422.bed	30	39
lncrna_rsid8423.bed	20	27
lncrna_rsid8424.bed	21	27
lncrna_rsid8425.bed	26	37
lncrna_rsid8426.bed	23	27
lncrna_rsid8427.bed	17	26
lncrna_rsid8428.bed	20	50
lncrna_rsid8429.bed	22	25
lncrna_rsid8430.bed	19	21
lncrna_rsid8431.bed	16	19
lncrna_rsid8432.bed	17	29
lncrna_rsid8433.bed	16	24
lncrna_rsid8434.bed	19	24
lncrna_rsid8435.bed	22	31
lncrna_rsid8436.bed	26	32
lncrna_rsid8437.bed	14	18
lncrna_rsid8438.bed	21	26
lncrna_rsid8439.bed	26	34
lncrna_rsid8440.bed	25	25
lncrna_rsid8441.bed	20	25
lncrna_rsid8442.bed	30	38
lncrna_rsid8443.bed	18	22
lncrna_rsid8444.bed	27	39
lncrna_rsid8445.bed	27	35
lncrna_rsid8446.bed	18	30
lncrna_rsid8447.bed	22	28
lncrna_rsid8448.bed	18	20
lncrna_rsid8449.bed	15	19
lncrna_rsid8450.bed	19	26
lncrna_rsid8451.bed	18	21
lncrna_rsid8452.bed	30	42
lncrna_rsid8453.bed	15	17
lncrna_rsid8454.bed	23	29
lncrna_rsid8455.bed	14	20
lncrna_rsid8456.bed	22	35
lncrna_rsid8457.bed	15	19
lncrna_rsid8458.bed	16	23
lncrna_rsid8459.bed	15	18
lncrna_rsid8460.bed	20	25
lncrna_rsid8461.bed	18	26
lncrna_rsid8462.bed	16	27
lncrna_rsid8463.bed	27	55
lncrna_rsid8464.bed	23	38
lncrna_rsid8465.bed	22	24
lncrna_rsid8466.bed	18	24
lncrna_rsid8467.bed	24	33
lncrna_rsid8468.bed	20	30
lncrna_rsid8469.bed	21	32
lncrna_rsid8470.bed	23	39
lncrna_rsid8471.bed	28	39
lncrna_rsid8472.bed	21	35
lncrna_rsid8473.bed	22	30
lncrna_rsid8474.bed	24	30
lncrna_rsid8475.bed	22	25
lncrna_rsid8476.bed	18	24
lncrna_rsid8477.bed	15	17
lncrna_rsid8478.bed	21	23
lncrna_rsid8479.bed	19	23
lncrna_rsid8480.bed	24	42
lncrna_rsid8481.bed	26	47
lncrna_rsid8482.bed	19	29
lncrna_rsid8483.bed	18	19
lncrna_rsid8484.bed	29	41
lncrna_rsid8485.bed	19	33
lncrna_rsid8486.bed	16	23
lncrna_rsid8487.bed	28	34
lncrna_rsid8488.bed	21	39
lncrna_rsid8489.bed	20	22
lncrna_rsid8490.bed	24	30
lncrna_rsid8491.bed	26	34
lncrna_rsid8492.bed	14	36
lncrna_rsid8493.bed	21	31
lncrna_rsid8494.bed	21	23
lncrna_rsid8495.bed	29	45
lncrna_rsid8496.bed	24	27
lncrna_rsid8497.bed	16	22
lncrna_rsid8498.bed	23	27
lncrna_rsid8499.bed	23	36
lncrna_rsid8500.bed	20	28
lncrna_rsid8501.bed	26	29
lncrna_rsid8502.bed	25	31
lncrna_rsid8503.bed	23	29
lncrna_rsid8504.bed	16	22
lncrna_rsid8505.bed	28	38
lncrna_rsid8506.bed	18	25
lncrna_rsid8507.bed	22	29
lncrna_rsid8508.bed	24	50
lncrna_rsid8509.bed	25	28
lncrna_rsid8510.bed	16	19
lncrna_rsid8511.bed	13	24
lncrna_rsid8512.bed	21	30
lncrna_rsid8513.bed	22	28
lncrna_rsid8514.bed	19	21
lncrna_rsid8515.bed	23	35
lncrna_rsid8516.bed	27	38
lncrna_rsid8517.bed	25	34
lncrna_rsid8518.bed	9	9
lncrna_rsid8519.bed	25	30
lncrna_rsid8520.bed	18	27
lncrna_rsid8521.bed	13	18
lncrna_rsid8522.bed	20	31
lncrna_rsid8523.bed	17	22
lncrna_rsid8524.bed	17	28
lncrna_rsid8525.bed	28	40
lncrna_rsid8526.bed	18	27
lncrna_rsid8527.bed	18	26
lncrna_rsid8528.bed	20	28
lncrna_rsid8529.bed	21	35
lncrna_rsid8530.bed	21	22
lncrna_rsid8531.bed	22	34
lncrna_rsid8532.bed	21	29
lncrna_rsid8533.bed	18	29
lncrna_rsid8534.bed	17	18
lncrna_rsid8535.bed	20	25
lncrna_rsid8536.bed	23	31
lncrna_rsid8537.bed	21	29
lncrna_rsid8538.bed	21	38
lncrna_rsid8539.bed	21	30
lncrna_rsid8540.bed	15	23
lncrna_rsid8541.bed	14	20
lncrna_rsid8542.bed	14	17
lncrna_rsid8543.bed	29	38
lncrna_rsid8544.bed	17	19
lncrna_rsid8545.bed	23	32
lncrna_rsid8546.bed	18	24
lncrna_rsid8547.bed	21	23
lncrna_rsid8548.bed	18	20
lncrna_rsid8549.bed	23	30
lncrna_rsid8550.bed	18	20
lncrna_rsid8551.bed	30	36
lncrna_rsid8552.bed	30	38
lncrna_rsid8553.bed	20	22
lncrna_rsid8554.bed	22	42
lncrna_rsid8555.bed	21	29
lncrna_rsid8556.bed	23	35
lncrna_rsid8557.bed	20	33
lncrna_rsid8558.bed	18	26
lncrna_rsid8559.bed	19	23
lncrna_rsid8560.bed	19	25
lncrna_rsid8561.bed	20	25
lncrna_rsid8562.bed	28	36
lncrna_rsid8563.bed	23	30
lncrna_rsid8564.bed	24	30
lncrna_rsid8565.bed	22	30
lncrna_rsid8566.bed	15	18
lncrna_rsid8567.bed	19	31
lncrna_rsid8568.bed	25	33
lncrna_rsid8569.bed	19	25
lncrna_rsid8570.bed	17	23
lncrna_rsid8571.bed	20	23
lncrna_rsid8572.bed	20	23
lncrna_rsid8573.bed	21	21
lncrna_rsid8574.bed	16	28
lncrna_rsid8575.bed	24	30
lncrna_rsid8576.bed	23	30
lncrna_rsid8577.bed	15	23
lncrna_rsid8578.bed	24	42
lncrna_rsid8579.bed	21	28
lncrna_rsid8580.bed	24	33
lncrna_rsid8581.bed	25	32
lncrna_rsid8582.bed	20	24
lncrna_rsid8583.bed	18	24
lncrna_rsid8584.bed	18	21
lncrna_rsid8585.bed	18	29
lncrna_rsid8586.bed	23	29
lncrna_rsid8587.bed	20	32
lncrna_rsid8588.bed	15	21
lncrna_rsid8589.bed	17	19
lncrna_rsid8590.bed	23	25
lncrna_rsid8591.bed	17	21
lncrna_rsid8592.bed	23	35
lncrna_rsid8593.bed	23	49
lncrna_rsid8594.bed	20	28
lncrna_rsid8595.bed	29	38
lncrna_rsid8596.bed	22	31
lncrna_rsid8597.bed	23	35
lncrna_rsid8598.bed	13	22
lncrna_rsid8599.bed	21	35
lncrna_rsid8600.bed	27	48
lncrna_rsid8601.bed	15	27
lncrna_rsid8602.bed	18	23
lncrna_rsid8603.bed	20	29
lncrna_rsid8604.bed	28	39
lncrna_rsid8605.bed	19	24
lncrna_rsid8606.bed	22	26
lncrna_rsid8607.bed	22	37
