random	SNP_n	Enh_n
roadmap_rsid703.tsv	443	441
roadmap_rsid704.tsv	434	434
roadmap_rsid705.tsv	415	413
roadmap_rsid706.tsv	411	410
roadmap_rsid707.tsv	403	403
roadmap_rsid708.tsv	429	428
roadmap_rsid709.tsv	425	424
roadmap_rsid710.tsv	446	446
roadmap_rsid711.tsv	447	447
roadmap_rsid712.tsv	410	410
roadmap_rsid713.tsv	430	430
roadmap_rsid714.tsv	428	428
roadmap_rsid715.tsv	454	454
roadmap_rsid716.tsv	422	422
roadmap_rsid717.tsv	452	451
roadmap_rsid718.tsv	447	446
roadmap_rsid719.tsv	442	442
roadmap_rsid720.tsv	459	459
roadmap_rsid721.tsv	419	419
roadmap_rsid722.tsv	420	420
roadmap_rsid723.tsv	451	450
roadmap_rsid724.tsv	453	452
roadmap_rsid725.tsv	465	465
roadmap_rsid726.tsv	414	414
roadmap_rsid727.tsv	445	445
roadmap_rsid728.tsv	426	424
roadmap_rsid729.tsv	426	424
roadmap_rsid730.tsv	439	439
roadmap_rsid731.tsv	447	447
roadmap_rsid732.tsv	431	430
roadmap_rsid733.tsv	441	440
roadmap_rsid734.tsv	462	460
roadmap_rsid735.tsv	428	428
roadmap_rsid736.tsv	440	440
roadmap_rsid737.tsv	411	409
roadmap_rsid738.tsv	440	439
roadmap_rsid739.tsv	407	406
roadmap_rsid740.tsv	466	466
roadmap_rsid741.tsv	443	443
roadmap_rsid742.tsv	420	420
roadmap_rsid743.tsv	448	448
roadmap_rsid744.tsv	431	430
roadmap_rsid745.tsv	428	427
roadmap_rsid746.tsv	433	432
roadmap_rsid747.tsv	426	425
roadmap_rsid748.tsv	454	454
roadmap_rsid749.tsv	425	425
roadmap_rsid750.tsv	484	483
roadmap_rsid751.tsv	441	441
roadmap_rsid752.tsv	453	452
roadmap_rsid753.tsv	435	435
roadmap_rsid754.tsv	441	441
roadmap_rsid755.tsv	417	415
roadmap_rsid756.tsv	402	401
roadmap_rsid757.tsv	458	456
roadmap_rsid758.tsv	455	451
roadmap_rsid759.tsv	436	437
roadmap_rsid760.tsv	455	455
roadmap_rsid761.tsv	417	417
roadmap_rsid762.tsv	468	466
roadmap_rsid763.tsv	409	409
roadmap_rsid764.tsv	448	448
roadmap_rsid765.tsv	464	464
roadmap_rsid766.tsv	443	441
roadmap_rsid767.tsv	427	427
roadmap_rsid768.tsv	438	438
roadmap_rsid769.tsv	429	428
roadmap_rsid770.tsv	439	438
roadmap_rsid771.tsv	423	423
roadmap_rsid772.tsv	412	411
roadmap_rsid773.tsv	453	449
